Country,IndR_nc,Flag,Sawn_nc,Flag,FuelW,Flag,IndR_c,Flag,Sawn_c,Flag,Ply_Ven,Flag,PartB,Flag,FibreB,Flag,MechP,Flag,ChemP,Flag,OthP,Flag,WasteP,Flag,NewsP,Flag,PWP,Flag,OthP,Flag
Uruguay,0.02,C,0.06,U,0.02,C,0.02,C,0.06,C,0.07,U,0.1,C,0.08,U,0.04,C,0.02,C,0.04,C,0.02,C,0.11,U,0.12,U,0.13,U
"Venezuela, Boliv Rep of",0.02,U,0.06,U,0.02,C,0.02,U,0.06,U,0.1,U,0.1,U,0.1,U,0.04,U,0.04,U,0.04,U,0.02,U,0.09,O,0.13,U,0.13,U
Afghanistan,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Bahrain,0.05,U,0.05,U,0.04,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U
Bangladesh,0.06,U,0.05,U,0.05,U,0.06,U,0.05,U,0.25,U,0.25,U,0.2,U,0,C,0,C,0,C,0,C,0.25,U,0.24,U,0.19,U
Bhutan,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Brunei Darussalam,0.05,U,0.05,U,0.04,U,0.05,U,0.05,U,0.05,U,0.05,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Cambodia,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U,0.07,U
China,0,C,0,C,0,C,0,C,0,C,0.05,U,0.05,U,0.05,U,0,C,0,C,0,C,0,C,0.05,U,0.05,U,0.06,U
Cyprus,0,C,0.09,O,0,C,0,C,0,C,0.07,O,0.06,O,0.07,O,0,C,0,C,0,C,0,C,0,C,0.01,O,0.02,O
Maldives,0,C,0,C,0,C,0,C,0,C,0,C,0.05,U,0.05,U,0.25,U,0.25,U,0.25,U,0.25,U,0,C,0,C,0,C
India,0.05,U,0.1,U,0.05,U,0.05,U,0.1,U,0.1,U,0.1,U,0.1,U,0.05,U,0.05,U,0.05,U,0.1,U,0.1,U,0.1,U,0.1,U
Indonesia,0,C,0,C,0,C,0,C,0,C,0.1,U,0.05,U,0.05,U,0,C,0,C,0,C,0,C,0.05,U,0.1,U,0.05,U
"Iran, Islamic Rep of",0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Iraq,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
Israel,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0,C,0.02,U,0.04,U
Japan,0,C,0.01,U,0,C,0,C,0.01,U,0.06,U,0.06,U,0.03,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Jordan,0.02,U,0,C,0,C,0.02,U,0,C,0.01,U,0,C,0.1,U,0,C,0.02,U,0,C,0.05,U,0,C,0.08,U,0.14,U
"Korea, Dem People's Rep",0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X
"Korea, Republic of",0,C,0.05,U,0.02,U,0,C,0.1,U,0.09,U,0.08,U,0.08,U,0,C,0,C,0,C,0,C,0,C,0,C,0,C
Kuwait,0.05,U,0.05,U,0.04,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U,0.05,U
